tourney_id,tourney_name,surface,draw_size,tourney_level,tour_yr,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2008-339,Adelaide,Hard,32,A,2008,20071231,1,103720,1,,Lleyton Hewitt,R,180,AUS,26.84736482,104534,,,Dudi Sela,R,175,ISR,22.74058864,6-2 6-2,3,R32,66,7,2,46,29,26,8,8,3,3,5,2,59,37,22,8,8,7,11,21,1365,64,573
2008-339,Adelaide,Hard,32,A,2008,20071231,2,104076,,,Jose Acasuso,R,190,ARG,25.19644079,104268,,,Alejandro Falla,L,185,COL,24.12867899,6-3 7-6(3),3,R32,101,8,4,76,40,31,14,11,8,12,2,1,68,40,21,14,10,5,10,65,566,81,481
2008-339,Adelaide,Hard,32,A,2008,20071231,3,105208,,,Ernests Gulbis,R,190,LAT,19.33470226,104979,,Q,Andrey Golubev,R,185,KAZ,20.44353183,6-7(9) 6-4 6-2,3,R32,138,7,6,133,80,59,22,15,14,16,6,4,109,63,43,20,15,3,8,61,585,177,239
2008-339,Adelaide,Hard,32,A,2008,20071231,4,104542,6,,Jo-Wilfried Tsonga,R,188,FRA,22.70499658,103812,,,Victor Hanescu,R,198,ROU,26.44490075,6-3 4-6 7-5,3,R32,120,11,6,84,46,38,21,16,3,6,1,0,93,56,39,19,15,3,7,43,714,76,517
2008-339,Adelaide,Hard,32,A,2008,20071231,5,103813,3,,Jarkko Nieminen,L,185,FIN,26.43942505,103657,,Q,Ivo Klec,R,183,SVK,27.08829569,6-2 6-4,3,R32,66,1,1,48,34,24,10,9,0,1,3,2,65,40,25,9,9,1,5,27,995,224,184
2008-339,Adelaide,Hard,32,A,2008,20071231,6,104433,,Q,Frank Dancevic,R,185,CAN,23.26078029,104620,,,Simone Bolelli,R,183,ITA,22.22861054,6-2 7-6(3),3,R32,77,4,0,73,39,30,22,10,5,5,8,2,65,43,29,12,10,3,5,72,521,67,541
2008-339,Adelaide,Hard,32,A,2008,20071231,7,104999,,,Mischa Zverev,L,190,GER,20.35865845,104252,,,Florian Mayer,R,190,GER,24.23819302,6-3 6-3,3,R32,56,2,0,50,29,26,11,9,0,0,0,4,51,32,20,9,9,0,3,88,468,55,611
2008-339,Adelaide,Hard,32,A,2008,20071231,8,102434,,,Vincent Spadea,R,183,USA,33.45106092,103206,8,,Sebastien Grosjean,R,175,FRA,29.59069131,4-6 6-1 6-3,3,R32,115,6,3,84,46,31,18,13,5,9,6,5,83,47,33,11,13,3,10,77,515,53,621
2008-339,Adelaide,Hard,32,A,2008,20071231,9,103188,,,Michael Russell,R,173,USA,29.66735113,105223,7,,Juan Martin del Potro,R,198,ARG,19.26899384,6-3 6-3,3,R32,92,6,0,64,48,34,8,9,5,6,7,9,66,33,20,13,9,9,13,82,481,44,690
2008-339,Adelaide,Hard,32,A,2008,20071231,10,103794,,,Benjamin Becker,R,178,GER,26.54072553,104635,,WC,Robert Smeets,L,188,AUS,22.13826146,3-6 6-4 6-2,3,R32,107,11,4,80,38,31,24,13,1,2,11,6,90,53,35,21,14,8,11,84,476,150,286
